13,8,14
16,11,19
13,12,16
11,4,1
9,3,3
17,16,7
7,20,2
14,4,3
9,8,18
14,19,12
9,10,5
18,20,1
12,20,14
5,1,4
7,20,5
18,7,7
1,8,12
16,16,2
17,11,4
3,11,15
14,14,5
15,20,3
4,14,2
1,19,13
7,7,9
12,16,10
15,8,10
4,1,4
18,18,18
15,2,14
20,7,15
9,10,18
7,19,8
9,7,11
8,3,16
6,1,15
6,18,15
2,12,13
2,1,6
20,1,15
1,6,3
8,4,13
14,17,2
12,8,16
18,7,19
4,4,20
5,20,3
20,19,11
15,1,14
10,3,20
7,1,10
14,19,16
16,2,7
10,4,18
7,6,2
14,18,7
2,13,14
5,11,6
5,1,7
9,11,4
3,17,9
19,14,1
15,6,3
15,3,8
16,2,12
5,5,17
11,5,13
17,8,5
5,16,15
13,3,15
2,4,5
4,2,6
6,14,11
3,14,6
8,19,2
19,19,16
10,18,17
19,11,9
18,20,15
12,13,14
10,12,11
12,13,13
16,9,17
3,4,3
14,5,10
14,6,8
13,16,13
9,10,15
2,6,17
11,13,8
12,20,19
8,16,5
13,5,7
7,9,18
5,6,17
14,5,6
18,4,15
18,17,1
1,7,9
19,4,2
7,17,15
16,19,19
9,2,3
1,7,14
8,2,1
11,13,11
2,14,12
7,19,4
11,6,20
8,5,16
5,16,1
6,3,9
4,19,8
16,1,17
6,6,17
8,1,15
19,8,15
2,17,5
16,1,20
20,16,6
10,4,1
10,11,12
5,11,6
8,6,5
16,13,14
12,11,13
19,9,7
19,13,10
10,2,15
14,18,8
11,16,13
16,14,12
15,16,8
15,20,10
7,6,19
14,10,5
18,3,4
20,19,9
3,7,19
4,14,10
11,4,18
4,1,7
5,12,3
5,4,20
14,4,12
11,6,16
15,8,14
12,1,2
19,6,6
8,15,6
16,17,10
5,10,20
13,19,18
3,16,3
3,15,12
4,11,19
1,4,1
19,9,3
20,3,11
10,10,9
16,1,16
6,8,4
9,14,1
11,16,5
2,3,12
15,16,20
15,4,13
3,9,8
18,2,7
3,1,1
11,16,20
4,12,4
10,18,8
15,3,13
10,20,10
20,9,17
6,1,12
1,2,11
16,1,6
16,15,15
5,15,8
16,11,8
16,14,2
18,16,14
2,19,4
1,3,17
8,14,7
20,16,1
10,14,18
7,1,3
10,19,1
2,5,7
6,6,7
3,6,1
3,9,17
16,20,7
1,18,11
12,19,1
9,16,3
12,17,6
2,1,20
19,20,16
7,1,5
2,15,7
9,20,15
20,7,8
19,5,12
18,1,7
5,10,19
19,3,8
11,19,2
18,3,17
8,20,5
5,9,3
10,18,15
17,9,1
4,12,13
7,20,5
1,3,20
2,8,8
13,19,19
18,14,18
16,3,14
11,10,13
7,17,3
7,17,19
6,7,13
13,4,2
12,11,6
5,16,8
16,10,11
11,10,4
15,3,11
14,17,6
15,15,5
16,20,17
15,9,15
9,14,17
18,1,13
2,5,19
14,18,7
12,7,9
9,11,11
14,12,18
10,18,19
8,6,11
11,15,15
4,10,10
6,2,19
3,12,8
